,0
unknown,1
Action,251
Adventure,135
Animation,42
Childrens,122
Comedy,505
Crime,109
Documentary,50
Drama,725
Fantasy,22
Film-Noir,24
Horror,92
Musical,56
Mystery,61
Romance,247
Sci-Fi,101
Thriller,251
War,71
Western,27
release year,1995199519951995199519951995199519951996199519951995199419961995199619951995199519961996199619961996199519951995199519671995199419951995199519951994199519951995199519941994199419941994199419941994197719941994199419951994199419941994199419931994199419941994199319951994199419941994199419941994196519941993199319931993199319941993199319941994199319931993198219931993199319961990199219911990199119371997198119701996199619961996199619961996199519961996199619961996199619961996199419961996199619961996199619961972199619961996196119391939194119681939199619961969199319541971196519881992199619961996199619961971197319881979198719921986198919921992198619811974198919861986198019741993198819911980198719811985198619661957197119791997199019791993196019801974198719921989198419801983197319841989196719901957198019871993199219851970198819901974198419891970198819861982198919891992199119841996199619961996199619961990199119821984198619921988199219751996199619961987199219961992199719971997199719971997199719971997199719971997199719971997199719971997199719971997199719971990199719971997199719971997199519951995199519951996199519961994199619961996199619961996199619961997199719971997199719971997199719971997199719971997199719961997199719971997199719971997199719971997199819971993199319961996199619971997199719971997199719971998199719971997199719971997199719971997199719971997199719971997199719971998199819981998199819971998199819981994197519971997199719971998199519951995199519951996199619961996199519951995199519941994199419951994199419941994199419941993199319941994199319931993199319941993199419931993199319941995199019891940199619961996199619961996199619961996198219751957196119501964195119961996198219961992198619621971195119331986194019891956196919811992198319931982197919901963195819451976197619761979198919781978198319961997199719971995199519951995199219941994199419921993199319931993199619961996196319961996199619401958195919601959194219411964195419531950194619551938195519341940195619461938195119581996194119711972196719541955195119961989195419621987194919771997198319791990194819631978198619671940194619591982198419851975199619971997199719971997199119971997199519951995199519961995199619961996199519951995199519951995199519951994199419941995199419951995199519951994199419941994199419931994199319931994199319931993199319951993199319931993199319941993199119691996199619951993199619961996199619961996199619431951195419341944195019401945195019581944193719361956193519681930195519961996195519601994194519631949199119961982196519921982193819961980198119811982197919891957199019941988199019691985195219841957198919901958197419861931196219901944199119521980197919841992197419771981199119931935199219621982192219961997199719811997199719971997199319961993199719971997199719981995199519951995199619951994199419951993199419941993195219961991198919921985199619871995199519951995199619961994199519951995199519951994199519941994199419961994199319941993199319931994199419901996199619961996199619721985199319971997199719971998199419971995199519951996199519951995199619961996199219961995199519951995199519951994199519951995199519951994199419951994199419931994199519951994199519951995199419941994199419941994199519951995199419931993199419931993199319931993199419931994199619941996199519961996199619961996196819961996199619961996199619961996199619961996199519341939194119961995199619961960195919961996199619961944199019961966199619921987198119911996199619861987198619961996199619971996199619971997199719971997199719971997199719971997199719971997199719971997199819971997199719971997199719971997199719971997199519971997199719971997199719971998199719971998199819981998199819981998199819981998199819951995199319961991199619961996199619961996199619961996199619961997199719971997199519941994199319941994196319811988199719951995199519951995199519951994199219941993199319931993199319951957195719361949196819911991199219961996199619961996199619961996199619961996199719961997199719971997199719971997199719971997199519951994199419941996199719971993199119911997199619961996199619971997199719971997199619901989194419631997199719971997199719951995199519931994199419961996199319911982199719971996199519951995199419931993199619961996194719961995199519961994199219961994199619961996199819951947198319951996199619941995199519951994199419941994199419881996199619961997199719961996199619961997199719931977199619961996199619971996199619941994199319961990199219981998199519951994199519961994199419961996194019961978198719961996193919541932196119581998199619961996199519961975199619911996199619971995199419931997199719971994199319951994197119961996199719931965199619961997199619791997199619961996199719961993199419931994199419941939199719961997199719961994199519941994199419941994199419941975199019971997199819931994199419931992199619601996195019961996193519421996199319951995199419951994199319931976199619971995199519951995199419931993199419951997199519951995199419901991199619981994199719961996199519961997199119981997199719951994199419931995199719971995199719971997199719971996199519951996199619961997197319951992195719931994199419941993199419961996199719971997199619961997199619941937199619961996199419961997199819981997199619941953194119971981199719941996199519941994199419741945199619961998199419971997199619961996199619961993199419961996199619941996199619941995199319941996199619961996199619931995199219961995199319941992195819901993194919961976199419921996199619941996199619941996199619961996199319941994199419501994199419941971198019931997199719971997199719961997199719971997199719971997199719971997199719971997199819961934199619971995199319931994198719971995199419951994199319681995199419951994199419971993199419971993199319951994199419961996199719981997199719981997199819951993199419951994199419951995199419651994199519931996199619471940194319461947194319541996193719961996193519961997199519951995199319951995199519951996193919941993194819971995199519741994199619981994199419951993199319941993199519941996199619961996199619971994199619971994199519961996199619961995199419961997199619971997199519941996199519951995199319941994199619981985199819971996199519951994199319971994199619971997199319951994192619961995199519881995199519951995199419951995199419931995199619961994198119941993199419911992194319921992198719921973198219681995199019871956196719881933195019471986194619901992195819971997199719981998199619981996199519921997199619971997199819961948199719971998199719971997199719981998195819971995199719901996199719961993199619981997199619961994199519961993199619961996198619961996199619961996199619961997199719981998199819981998199819981997199619981994199819961996199619961994199719971997199719971997199719971998199819931995196219961996199619981998199819941996
